ticker,tenor_months,target_date,expiration,fetched_at_utc,underlying_last,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,mid,spread_abs,spread_pct,adjusted_mid
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404825,2024-08-07,3900.0,,2265.9,2345.9,,,0,388,0.301563,True,REGULAR,USD,call,2305.9,80.0,0.0346936120386833,2295.273684210534
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385360,,3950.0,,2223.4,2303.4,,,0,0,0.297776,True,REGULAR,USD,call,2263.4,80.0,0.0353450561102765,2250.9842105263233
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143930700,2024-12-09,400.0,,5401.0,5481.0,,,0,6,1.29012,True,REGULAR,USD,call,5441.0,80.0,0.0147031795625804,5441.0
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404826,2024-12-31,4000.0,,2181.0,2261.0,,,0,56441,0.294036,True,REGULAR,USD,call,2221.0,80.0,0.0360198108959927,2206.694736842112
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385361,,4050.0,,2138.7,2218.7,,,0,0,0.290336,True,REGULAR,USD,call,2178.7,80.0,0.0367191444439344,2162.4052631579007
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404827,2024-12-31,4100.0,,2096.6,2176.6,,,0,832,0.286745,True,REGULAR,USD,call,2136.6,80.0,0.0374426659178133,2118.11578947369
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385362,2024-08-12,4150.0,,2054.6,2134.6,,,0,236,0.283184,True,REGULAR,USD,call,2094.6,80.0,0.0381934498233553,2073.8263157894785
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404828,2024-12-31,4200.0,,2012.8,2092.8,,,0,1755,0.279717,True,REGULAR,USD,call,2052.8,80.00000000000023,0.038971161340608,2029.5368421052672
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385363,,4250.0,,1971.2,2051.2,,,0,0,0.276336,True,REGULAR,USD,call,2011.2,79.99999999999977,0.0397772474144788,1985.2473684210559
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404829,2024-12-31,4300.0,,1929.7,2009.7,,,0,1439,0.27297,True,REGULAR,USD,call,1969.7,80.0,0.0406153221302736,1940.957894736845
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385364,,4350.0,,1888.5,1968.5,,,0,0,0.269741,True,REGULAR,USD,call,1928.5,80.0,0.0414830178895514,1896.6684210526341
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404830,2024-10-10,4400.0,,1847.5,1927.5,,,0,994,0.266576,True,REGULAR,USD,call,1887.5,80.0,0.0423841059602649,1852.3789473684228
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,163385365,,4450.0,,1806.7,1886.7,,,0,0,0.263469,True,REGULAR,USD,call,1846.7,80.0,0.0433205176801862,1808.0894736842115
SPX,24,2027-01-02,2026-12-18,2026-02-05 15:40:06.717462+00:00,5868.55,143404831,2024-12-26,4500.0,,1718.3,1763.8,,,0,3135,0.220473,True,REGULAR,USD,call,1741.05,45.5,0.0261336549783176,1763.8
