date,tenor,T_years,discount_factor,zero_rate_cont
2025-01-02,1M,0.08333333333333333,0.9959646979099458,0.04852159069444444
2025-01-02,3M,0.25,0.9879213500087295,0.048608758629032266
2025-01-02,6M,0.5,0.9760139915030591,0.04855671423076923
2025-01-02,12M,1.0,0.9532194871888917,0.047910089999999995
2025-01-02,24M,2.0,0.9133842515041796,0.04529931
