obs_freq,maturity_years,coupon_rate,price,price_diff_bps,expected_expiry_years,survival_probability
quarterly,0.25,0.01908626,0.9998776259076727,-1.2237409232729313,0.25,0.9999498335290627
quarterly,0.5,0.02461403,1.001804173443501,18.041734435010337,0.33665627269851095,0.3465830869001046
quarterly,0.75,0.02670627,1.0034137278676674,34.1372786766736,0.39456136566415967,0.2316378445745801
quarterly,1.0,0.02742142,1.003779038178546,37.790381785460795,0.4397408880973331,0.18089506521449306
quarterly,1.25,0.02727404,1.003943136141243,39.43136141242975,0.4774276419768072,0.15086869962820332
quarterly,1.5,0.0267436,1.0037429251958492,37.42925195849178,0.5105912732102297,0.1329206607663488
quarterly,1.75,0.02608444,1.0034305893091233,34.305893091233216,0.5404741447545887,0.11998711382187605
quarterly,2.0,0.02540501,1.003081524473119,30.81524473119046,0.5676048805722744,0.10918934397120364
