obs_freq,obs_tenor_months,maturity_years,n_observations,coupon_rate,coupon_rate_pct,coupon_rate_pa_pct,price,price_pct,price_diff,price_diff_bps,survival_probability,terminal_par_contribution,terminal_put_contribution,expected_expiry_years,expected_expiry_months
monthly,1,0.25,3,0.00841059,0.8410590000000001,10.092708000000002,0.9999999993800015,99.99999993800014,-6.199984969867955e-10,-6.1999849698679554e-06,0.24620680534926892,0.21870155381464712,0.01755947281324398,0.13423954246995654,1.6108745096394785
monthly,1,0.5,6,0.010805,1.0805,12.966000000000001,0.999999922651339,99.9999922651339,-7.734866103170646e-08,-0.0007734866103170646,0.12603944986986476,0.07229168080312434,0.036840328550927816,0.17298876652425113,2.0758651982910137
monthly,1,0.75,9,0.011079,1.1079,13.294800000000002,0.9999998752181527,99.99998752181527,-1.2478184729936004e-07,-0.0012478184729936004,0.08863188203773688,0.027653699710927467,0.04134379678478223,0.19767233179474586,2.3720679815369503
monthly,1,1.0,12,0.01084965,1.084965,13.01958,1.0000000111196246,100.00000111196246,1.1119624554467578e-08,0.00011119624554467578,0.07160962583461403,0.011032171875645463,0.03975492822962241,0.21684266616146303,2.602111993937556
monthly,1,1.25,15,0.0104426,1.04426,12.53112,0.9999999976893851,99.99999976893851,-2.310614921618992e-09,-2.310614921618992e-05,0.061650569915730036,0.0045878455918265445,0.0358658074926649,0.23300351789423335,2.7960422147308
monthly,1,1.5,18,0.01003036,1.003036,12.036432,0.9999999905585606,99.99999905585607,-9.441439408064412e-09,-9.441439408064412e-05,0.055269578027576434,0.0019791781237533976,0.031999304497786714,0.24734252702583093,2.968110324309971
monthly,1,1.75,21,0.00964965,0.964965,11.579579999999998,0.9999999964796675,99.99999964796675,-3.5203324699750738e-09,-3.520332469975074e-05,0.05048520774568046,0.0008434532093441046,0.028402114849518472,0.26035715534682113,3.1242858641618536
monthly,1,2.0,24,0.00930935,0.930935,11.17122,1.0000000074091486,100.00000074091486,7.409148627957052e-09,7.409148627957052e-05,0.04673676746675183,0.0003572674459572508,0.02525268572558547,0.2723518481625962,3.268222177951155
monthly,1,2.25,27,0.00900903,0.9009029999999999,10.810836,0.9999999961249668,99.99999961249668,-3.8750331832204665e-09,-3.8750331832204665e-05,0.04368329705404495,0.00014846675988697614,0.02254231333721971,0.2835267120115141,3.4023205441381688
monthly,1,2.5,30,0.00874538,0.874538,10.494456000000001,0.999999998025771,99.9999998025771,-1.974229002499328e-09,-1.974229002499328e-05,0.04127717699313823,6.363562790439689e-05,0.020339679763033813,0.29403358757445447,3.528403050893454
monthly,1,2.75,33,0.00851183,0.851183,10.214196,0.9999999960303787,99.99999960303786,-3.969621298338666e-09,-3.969621298338666e-05,0.03909957552386704,2.663539947061296e-05,0.018329519105666124,0.30397244559372805,3.6476693471247366
monthly,1,3.0,36,0.00830338,0.8303380000000001,9.964056000000001,1.0000000086560021,100.00000086560021,8.656002137286123e-09,8.656002137286123e-05,0.03719005211544157,1.0938756403212515e-05,0.01656579036999631,0.3134131933332146,3.760958319998575
