day,T_years,forward_interp,is_pillar_day,forward_pillar
0,0.0,5868.550000000001,1,5868.55
1,0.0027397260273972603,5869.11414130477,0,
2,0.005479452054794521,5869.678336840211,0,
3,0.00821917808219178,5870.242586611547,0,
4,0.010958904109589041,5870.806890623973,0,
5,0.0136986301369863,5871.371248882712,0,
6,0.01643835616438356,5871.935661392979,0,
7,0.019178082191780823,5872.500128159999,0,
8,0.021917808219178082,5873.064649188968,0,
9,0.024657534246575342,5873.629224485112,0,
10,0.0273972602739726,5874.193854053648,0,
11,0.030136986301369864,5874.758537899802,0,
12,0.03287671232876712,5875.323276028773,0,
13,0.03561643835616438,5875.888068445789,0,
14,0.038356164383561646,5876.452915156078,0,
15,0.0410958904109589,5877.01781616484,0,
16,0.043835616438356165,5877.582771477304,0,
17,0.04657534246575343,5878.14778109869,0,
18,0.049315068493150684,5878.71284503422,0,
19,0.052054794520547946,5879.277963289124,0,
20,0.0547945205479452,5879.843135868605,0,
21,0.057534246575342465,5880.408362777893,0,
22,0.06027397260273973,5880.973644022222,0,
23,0.06301369863013699,5881.538979606797,0,
24,0.06575342465753424,5882.104369536848,0,
25,0.0684931506849315,5882.669813817602,0,
26,0.07123287671232877,5883.2353124542815,0,
27,0.07397260273972603,5883.8008654521245,0,
28,0.07671232876712329,5884.366472816335,0,
29,0.07945205479452055,5884.932134552148,0,
30,0.0821917808219178,5885.497850664804,0,
31,0.08493150684931507,5886.0636211595065,0,
32,0.08767123287671233,5886.629446041495,1,5886.629446041499
33,0.09041095890410959,5887.2200177595705,0,
34,0.09315068493150686,5887.810648726324,0,
35,0.0958904109589041,5888.401338947679,0,
36,0.09863013698630137,5888.992088429591,0,
37,0.10136986301369863,5889.582897178016,0,
38,0.10410958904109589,5890.173765198878,0,
39,0.10684931506849316,5890.7646924981345,0,
40,0.1095890410958904,5891.355679081744,0,
41,0.11232876712328767,5891.946724955631,0,
42,0.11506849315068493,5892.537830125755,0,
43,0.1178082191780822,5893.128994598077,0,
44,0.12054794520547946,5893.720218378524,0,
45,0.1232876712328767,5894.3115014730565,0,
46,0.12602739726027398,5894.902843887636,0,
47,0.12876712328767123,5895.494245628192,0,
48,0.13150684931506848,5896.085706700688,0,
49,0.13424657534246576,5896.677227111087,0,
50,0.136986301369863,5897.268806865319,0,
51,0.13972602739726028,5897.860445969351,0,
52,0.14246575342465753,5898.452144429145,0,
53,0.14520547945205478,5899.043902250637,0,
54,0.14794520547945206,5899.6357194397915,0,
55,0.1506849315068493,5900.227596002576,0,
56,0.15342465753424658,5900.819531944926,0,
57,0.15616438356164383,5901.411527272808,0,
58,0.1589041095890411,5902.003581992191,0,
59,0.16164383561643836,5902.595696109014,0,
60,0.1643835616438356,5903.187869629244,0,
61,0.16712328767123288,5903.780102558852,0,
62,0.16986301369863013,5904.3723949037785,0,
63,0.1726027397260274,5904.9647466700035,0,
64,0.17534246575342466,5905.557157863468,0,
65,0.1780821917808219,5906.149628490145,0,
66,0.18082191780821918,5906.742158556007,0,
67,0.18356164383561643,5907.334748066995,0,
68,0.1863013698630137,5907.927397029087,0,
69,0.18904109589041096,5908.520105448254,0,
70,0.1917808219178082,5909.112873330442,0,
71,0.19452054794520549,5909.705700681627,0,
72,0.19726027397260273,5910.298587507785,0,
73,0.2,5910.891533814862,0,
74,0.20273972602739726,5911.484539608836,0,
75,0.2054794520547945,5912.077604895685,0,
76,0.20821917808219179,5912.670729681357,0,
