T,F,DF,n_calls,n_puts,call_rmse,call_mae,call_bias,put_rmse,put_mae,put_bias,call_inside_pct,put_inside_pct,call_median_spread,put_median_spread,call_median_half_spread,put_median_half_spread,mass
0.0027397260273972603,5869.11414130477,0.9998672408883151,270,270,1.8001814732041514,1.0190873770156774,-0.047683065843219616,1.9450439422198396,0.9543996997094386,-0.8999891781226873,0.7037037037037037,0.40370370370370373,1.7999999999999972,0.1,0.8999999999999986,0.05,0.9999999999999891
0.010958904109589041,5870.806890623973,0.9994689860691749,201,201,2.3590544532310043,1.8903643601236715,1.872856923825973,1.4621563261728956,1.08568435862921,-0.4994950485548397,0.582089552238806,0.4577114427860697,5.3999999999999915,0.20000000000000018,2.6999999999999957,0.10000000000000009,1.0000000000000007
0.0136986301369863,5871.371248882712,0.9993362912886735,199,199,1.831921669974958,1.4061147032837198,1.333355685661754,1.6012251412537035,1.1995789661823386,-1.084113422222649,0.628140703517588,0.4371859296482412,4.400000000000006,0.29999999999999893,2.200000000000003,0.14999999999999947,0.999999999999995
0.01643835616438356,5871.935661392979,0.999203596508172,199,199,1.6537245950909882,1.3254073333700218,0.8302411787362474,2.087194190072148,1.5841619239025944,-1.5802932941237104,0.6683417085427136,0.37185929648241206,5.200000000000003,0.3000000000000007,2.6000000000000014,0.15000000000000036,0.9999999999999866
0.019178082191780823,5872.500128159999,0.9990709017276707,176,176,2.932028415421454,2.293691763871239,2.2001829392894208,2.011909749091681,1.5968166729850948,-1.0732343638747635,0.7102272727272727,0.6931818181818182,3.1000000000000014,3.0,1.5500000000000007,1.5,0.99999999999999
0.021917808219178082,5873.064649188968,0.9989382377695957,231,231,1.3989028113420356,1.0952383180406302,0.013268078117995408,2.1235286615728097,1.6426394639213684,-1.6426394639213684,0.5714285714285714,0.3463203463203463,4.8999999999999915,0.40000000000000036,2.4499999999999957,0.20000000000000018,0.9999999999999859
0.030136986301369864,5874.758537899802,0.9985402842249722,171,171,1.927360858835656,1.5277838188797805,1.504983765561375,1.4478372060099658,1.2067173402131977,-0.8112318496711953,0.5497076023391813,0.47368421052631576,0.7000000000000028,0.6000000000000014,0.3500000000000014,0.3000000000000007,1.0000000000002174
0.03287671232876712,5875.323276028773,0.9984076074918642,171,171,1.2409944173793317,0.8722843624407479,0.8236709862373183,1.5469181912022765,1.2591050487188225,-1.2256814030459349,0.6432748538011696,0.5087719298245614,0.7000000000000028,0.6000000000000014,0.3500000000000014,0.3000000000000007,1.0000000000005682
0.03561643835616438,5875.888068445789,0.9982749307587561,170,170,0.9235959532134363,0.7231333880222576,0.15276560472105732,2.691438567278217,2.406510797684411,-2.406510797684411,0.5705882352941176,0.36470588235294116,0.7000000000000028,0.6000000000000014,0.3500000000000014,0.3000000000000007,1.0000000000012825
0.038356164383561646,5876.452915156078,0.998142254025648,156,156,1.004323534091595,0.782102257418123,-0.21997567914338476,3.0013217393540086,2.7334351044739003,-2.7334351044739003,0.44871794871794873,0.38461538461538464,0.5999999999999943,0.6000000000000014,0.29999999999999716,0.3000000000000007,1.000000000002605
0.0410958904109589,5877.01781616484,0.998009582284845,426,426,1.4969996437014,1.2480669101260904,-0.983799290207355,1.5656253657195478,1.2676354607083788,-1.1037903968776663,0.6384976525821596,0.32629107981220656,9.024999999999977,0.3000000000000007,4.512499999999989,0.15000000000000036,1.0000000000048772
0.052054794520547946,5879.277963289124,0.9974789346692479,154,154,1.8700177617723888,1.6026325008704208,1.579582506837424,1.1156466453910208,0.8444745039194244,-0.6234919711009197,0.474025974025974,0.5584415584415584,0.7999999999999972,0.6999999999999957,0.3999999999999986,0.34999999999999787,1.0000000000332974
0.0547945205479452,5879.843135868605,0.9973462829419476,149,149,1.1321063777418212,0.954204831994134,0.6250454585652203,0.9725779418866802,0.8170472523606431,-0.8122956480436794,0.44966442953020136,0.4563758389261745,0.7000000000000028,0.7000000000000028,0.3500000000000014,0.3500000000000014,1.0000000000484193
0.057534246575342465,5880.408362777893,0.9972136312146475,137,137,0.8118461275909502,0.7002006943761935,0.3440795569012918,1.1735623213378004,1.043246674856884,-1.0267358131795077,0.44525547445255476,0.3722627737226277,0.799999999999983,0.7999999999999972,0.3999999999999915,0.3999999999999986,1.000000000068198
