date,T_years,discount_factor,zero_rate_cont
2025-01-02,0.0,1.0,0.048468819999999996
2025-01-02,0.01,0.9995154292423505,0.048468819999999996
2025-01-02,0.02,0.9990310932935202,0.048468819999999996
2025-01-02,0.03,0.9985469180616275,0.048471289524999996
2025-01-02,0.04,0.9980626479857831,0.0484807777
2025-01-02,0.05,0.997578423464723,0.048490265874999994
2025-01-02,0.06,0.9970942446600772,0.048499754049999996
2025-01-02,0.07,0.9966101117333717,0.048509242225
2025-01-02,0.08,0.9961260248460272,0.048518730399999994
2025-01-02,0.09,0.9956421695242686,0.04852614995
2025-01-02,0.1,0.9951584593419408,0.04853298883333333
2025-01-02,0.11,0.9946748481099278,0.048539827716666664
2025-01-02,0.12,0.9941913359124057,0.048546666599999996
2025-01-02,0.13,0.993707922833469,0.04855350548333333
2025-01-02,0.14,0.9932246089571305,0.04856034436666667
2025-01-02,0.15,0.9927413943673216,0.04856718325
2025-01-02,0.16,0.992258279147892,0.04857402213333333
2025-01-02,0.17,0.9917755576581414,0.048579115629032256
2025-01-02,0.18,0.9912932130942377,0.04858284687096774
2025-01-02,0.19,0.9908110291768322,0.04858657811290323
2025-01-02,0.2,0.9903290058997316,0.04859030935483871
2025-01-02,0.21,0.9898471432567099,0.0485940405967742
2025-01-02,0.22,0.9893654412415077,0.04859777183870968
2025-01-02,0.23,0.9888838998478333,0.04860150308064517
2025-01-02,0.24,0.9884025190693617,0.048605234322580654
2025-01-02,0.25,0.9879213500087295,0.048608758629032266
2025-01-02,0.26,0.9874410681214454,0.04860946861290323
2025-01-02,0.27,0.98696100571058,0.048610178596774196
2025-01-02,0.28,0.986481162683061,0.04861088858064517
2025-01-02,0.29,0.9860015389458519,0.048611598564516134
2025-01-02,0.3,0.9855221344059523,0.0486123085483871
2025-01-02,0.31,0.9850429489703976,0.04861301853225807
2025-01-02,0.32,0.9845639825462589,0.04861372851612904
2025-01-02,0.33,0.9840852350406435,0.0486144385
2025-01-02,0.34,0.983607251470288,0.0486135185
2025-01-02,0.35000000000000003,0.9831299321280759,0.04861139541666667
2025-01-02,0.36,0.9826528861417624,0.048609272333333335
2025-01-02,0.37,0.982176113338204,0.04860714925
2025-01-02,0.38,0.9816996135443761,0.04860502616666666
2025-01-02,0.39,0.9812233865873726,0.04860290308333333
2025-01-02,0.4,0.9807474322944062,0.048600779999999996
2025-01-02,0.41000000000000003,0.9802717504928081,0.04859865691666666
2025-01-02,0.42,0.9797967297541014,0.04859558916666666
2025-01-02,0.43,0.9793227184007041,0.048590813749999996
2025-01-02,0.44,0.9788490298553143,0.04858603833333333
2025-01-02,0.45,0.9783756638713323,0.04858126291666666
2025-01-02,0.46,0.9779026202023705,0.048576487499999994
2025-01-02,0.47000000000000003,0.9774298986022525,0.04857171208333333
2025-01-02,0.48,0.9769574988250129,0.048566936666666664
2025-01-02,0.49,0.9764854206248981,0.04856216125
2025-01-02,0.5,0.9760139915030591,0.04855671423076923
2025-01-02,0.51,0.9755450013408311,0.04854703611538461
2025-01-02,0.52,0.9750764252738197,0.048537357999999996
2025-01-02,0.53,0.9746082629217718,0.04852767988461538
2025-01-02,0.54,0.9741405139048575,0.04851800176923077
2025-01-02,0.55,0.9736731778436686,0.04850832365384615
2025-01-02,0.56,0.973206254359219,0.04849864553846153
2025-01-02,0.5700000000000001,0.9727397430729442,0.04848896742307692
2025-01-02,0.58,0.9722736436067001,0.048479289307692304
2025-01-02,0.59,0.9718079555827629,0.048469611192307686
2025-01-02,0.6,0.9713426786238287,0.048459933076923076
2025-01-02,0.61,0.9708778123530132,0.04845025496153846
2025-01-02,0.62,0.9704133563938505,0.04844057684615384
2025-01-02,0.63,0.9699493103702932,0.04843089873076923
2025-01-02,0.64,0.9694856739067119,0.04842122061538461
2025-01-02,0.65,0.9690224466278944,0.048411542499999995
2025-01-02,0.66,0.9685596281590454,0.048401864384615384
2025-01-02,0.67,0.9680972181257859,0.048392186269230766
2025-01-02,0.68,0.9676352161541528,0.04838250815384615
2025-01-02,0.6900000000000001,0.9671736218705987,0.04837283003846154
2025-01-02,0.7000000000000001,0.9667124349019908,0.04836315192307692
2025-01-02,0.71,0.9662516548756107,0.0483534738076923
2025-01-02,0.72,0.9657912814191542,0.04834379569230769
2025-01-02,0.73,0.9653313141607301,0.048334117576923075
2025-01-02,0.74,0.9648717527288608,0.04832443946153846
2025-01-02,0.75,0.9644135562295928,0.04831343483695652
2025-01-02,0.76,0.9639595471465164,0.04829730104347826
2025-01-02,0.77,0.9635060626936899,0.04828116725
2025-01-02,0.78,0.963053102331718,0.048265033456521736
2025-01-02,0.79,0.9626006655219671,0.04824889966304348
2025-01-02,0.8,0.9621487517265628,0.048232765869565215
2025-01-02,0.81,0.9616973604083897,0.04821663207608695
2025-01-02,0.8200000000000001,0.9612464910310903,0.048200498282608695
2025-01-02,0.8300000000000001,0.9607961430590634,0.04818436448913043
2025-01-02,0.84,0.9603463159574639,0.048168230695652174
2025-01-02,0.85,0.9598970091922008,0.04815209690217391
2025-01-02,0.86,0.9594482222299371,0.04813596310869565
2025-01-02,0.87,0.958999954538088,0.04811982931521739
2025-01-02,0.88,0.9585522055848201,0.048103695521739126
2025-01-02,0.89,0.958104974839051,0.04808756172826087
2025-01-02,0.9,0.9576582617704469,0.048071427934782605
2025-01-02,0.91,0.957212065849423,0.04805529414130434
2025-01-02,0.92,0.9567663865471414,0.048039160347826085
2025-01-02,0.93,0.9563212233355108,0.04802302655434782
2025-01-02,0.9400000000000001,0.955876575687185,0.048006892760869564
2025-01-02,0.9500000000000001,0.9554324430755621,0.0479907589673913
2025-01-02,0.96,0.9549888249747833,0.04797462517391304
2025-01-02,0.97,0.9545457208597323,0.04795849138043478
2025-01-02,0.98,0.9541031302060337,0.047942357586956516
2025-01-02,0.99,0.9536610524900521,0.04792622379347826
2025-01-02,1.0,0.9532194871888917,0.047910089999999995
2025-01-02,1.01,0.9527853733478769,0.047886744840659336
2025-01-02,1.02,0.9523519018663944,0.047863399681318676
2025-01-02,1.03,0.9519190720475149,0.047840054521978016
2025-01-02,1.04,0.9514868831955247,0.04781670936263736
2025-01-02,1.05,0.951055334615924,0.0477933642032967
2025-01-02,1.06,0.9506244256154243,0.04777001904395604
2025-01-02,1.07,0.9501941555019476,0.04774667388461538
2025-01-02,1.08,0.9497645235846236,0.047723328725274725
2025-01-02,1.09,0.9493355291737885,0.047699983565934065
2025-01-02,1.1,0.9489071715809827,0.047676638406593405
2025-01-02,1.11,0.9484794501189494,0.047653293247252745
2025-01-02,1.12,0.9480523641016325,0.047629948087912086
2025-01-02,1.1300000000000001,0.947625912844175,0.047606602928571426
2025-01-02,1.1400000000000001,0.9472000956629166,0.047583257769230766
2025-01-02,1.1500000000000001,0.9467749118753929,0.047559912609890106
2025-01-02,1.16,0.9463503608003325,0.04753656745054945
2025-01-02,1.17,0.9459264417576562,0.04751322229120879
2025-01-02,1.18,0.9455031540684742,0.04748987713186813
2025-01-02,1.19,0.945080497055085,0.04746653197252747
2025-01-02,1.2,0.9446584700409736,0.04744318681318681
2025-01-02,1.21,0.9442370723508092,0.047419841653846155
2025-01-02,1.22,0.943816303310444,0.047396496494505495
2025-01-02,1.23,0.9433961622469107,0.047373151335164836
2025-01-02,1.24,0.9429766484884217,0.047349806175824176
2025-01-02,1.25,0.9425577613643662,0.047326461016483516
2025-01-02,1.26,0.9421395002053096,0.047303115857142856
2025-01-02,1.27,0.9417218643429905,0.0472797706978022
2025-01-02,1.28,0.9413048531103202,0.04725642553846154
2025-01-02,1.29,0.9408884658413795,0.04723308037912088
2025-01-02,1.3,0.9404727018714185,0.04720973521978022
2025-01-02,1.31,0.9400575605368536,0.04718639006043956
2025-01-02,1.32,0.9396430411752663,0.0471630449010989
2025-01-02,1.33,0.9392291431254015,0.04713969974175824
2025-01-02,1.34,0.9388158657271655,0.04711635458241758
2025-01-02,1.35,0.9384032083216242,0.04709300942307692
2025-01-02,1.36,0.9379911702510019,0.047069664263736266
2025-01-02,1.37,0.9375797508586788,0.047046319104395606
2025-01-02,1.3800000000000001,0.9371689494891902,0.04702297394505495
2025-01-02,1.3900000000000001,0.9367587654882236,0.04699962878571429
2025-01-02,1.4000000000000001,0.9363491982026179,0.04697628362637363
2025-01-02,1.41,0.9359402469803613,0.04695293846703297
2025-01-02,1.42,0.9355319111705899,0.04692959330769231
2025-01-02,1.43,0.9351241901235855,0.04690624814835165
2025-01-02,1.44,0.9347170831907741,0.04688290298901099
2025-01-02,1.45,0.9343105897247242,0.04685955782967033
2025-01-02,1.46,0.9339047090791455,0.04683621267032967
2025-01-02,1.47,0.9334994406088863,0.04681286751098901
2025-01-02,1.48,0.9330947836699326,0.04678952235164835
2025-01-02,1.49,0.932690737619406,0.04676617719230769
2025-01-02,1.5,0.9322883573796048,0.046742077213114755
2025-01-02,1.51,0.931893291433128,0.04671322186885246
2025-01-02,1.52,0.9314989304738474,0.04668436652459017
2025-01-02,1.53,0.9311052737483438,0.04665551118032787
2025-01-02,1.54,0.9307123205047362,0.046626655836065574
2025-01-02,1.55,0.9303200699926782,0.04659780049180328
2025-01-02,1.56,0.9299285214633568,0.04656894514754099
2025-01-02,1.57,0.9295376741694892,0.046540089803278686
2025-01-02,1.58,0.9291475273653207,0.04651123445901639
2025-01-02,1.59,0.9287580803066222,0.0464823791147541
2025-01-02,1.6,0.9283693322506885,0.046453523770491806
2025-01-02,1.61,0.9279812824563348,0.04642466842622951
2025-01-02,1.62,0.9275939301838955,0.04639581308196721
2025-01-02,1.6300000000000001,0.927207274695221,0.04636695773770492
2025-01-02,1.6400000000000001,0.9268213152536758,0.046338102393442625
2025-01-02,1.6500000000000001,0.9264360511241362,0.04630924704918033
2025-01-02,1.6600000000000001,0.9260514815729878,0.04628039170491803
2025-01-02,1.67,0.9256676058681229,0.04625153636065574
2025-01-02,1.68,0.9252844232789391,0.046222681016393444
2025-01-02,1.69,0.924901933076336,0.04619382567213115
2025-01-02,1.7,0.9245201345327133,0.04616497032786886
2025-01-02,1.71,0.9241390269219687,0.046136114983606556
2025-01-02,1.72,0.9237586095194952,0.04610725963934426
2025-01-02,1.73,0.9233788816021793,0.04607840429508197
2025-01-02,1.74,0.922999842448398,0.046049548950819676
2025-01-02,1.75,0.9226214913380174,0.046020693606557375
2025-01-02,1.76,0.9222438275523897,0.04599183826229508
2025-01-02,1.77,0.9218668503743512,0.04596298291803279
2025-01-02,1.78,0.9214905590882203,0.045934127573770495
2025-01-02,1.79,0.9211149529797948,0.0459052722295082
2025-01-02,1.8,0.92074003133635,0.0458764168852459
2025-01-02,1.81,0.9203657934466358,0.04584756154098361
2025-01-02,1.82,0.9199922386008758,0.045818706196721314
2025-01-02,1.83,0.9196193660907633,0.04578985085245902
2025-01-02,1.84,0.9192471752094608,0.04576099550819672
2025-01-02,1.85,0.9188756652515963,0.045732140163934426
2025-01-02,1.86,0.9185048355132621,0.04570328481967213
2025-01-02,1.87,0.9181346852920121,0.04567442947540984
2025-01-02,1.8800000000000001,0.9177652138868599,0.045645574131147545
2025-01-02,1.8900000000000001,0.9173964205982762,0.045616718786885245
2025-01-02,1.9000000000000001,0.9170283047281866,0.04558786344262295
2025-01-02,1.9100000000000001,0.9166608655799702,0.04555900809836066
2025-01-02,1.92,0.9162941024584562,0.045530152754098364
2025-01-02,1.93,0.9159280146699228,0.04550129740983607
2025-01-02,1.94,0.9155626015220941,0.04547244206557377
2025-01-02,1.95,0.9151978623241388,0.04544358672131148
2025-01-02,1.96,0.9148337963866674,0.04541473137704918
2025-01-02,1.97,0.9144704030217302,0.04538587603278689
2025-01-02,1.98,0.9141076815428152,0.04535702068852459
2025-01-02,1.99,0.913745631264846,0.045328165344262296
2025-01-02,2.0,0.9133842515041796,0.04529931
